DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V05_1160,London Chronicle,"LONDON CHRONICLE , TUESDAY, AUGUST 13 TO THURSDAY, AUGUST",London Chronicle,LONDON CHRONICLE,title,/TaggedPDF-doc/doc[1160]/title/pub
NDAR_V05_1232,Continental Journal,"CONTINENTAL JOURNAL , THURSDAY, JUNE 27, 1776 Boston,",Continental Journal,CONTINENTAL JOURNAL,title,/TaggedPDF-doc/doc[1232]/title/pub
NDAR_V05_1238,New York Journal,"NEW-YORK JOURNAL , THURSDAY, JUNE 27, 1776 New York",New York Journal,NEW-YORK JOURNAL,title,/TaggedPDF-doc/doc[1238]/title/pub
NDAR_V05_1242,Pennsylvania Evening Post,"PENNSYLVANIA EVENING POST , THURSDAY, JUNE 27, 1776 Philadel",Pennsylvania Evening Post,PENNSYLVANIA EVENING POST,title,/TaggedPDF-doc/doc[1242]/title/pub
NDAR_V05_1263,Connecticut Gazette,"CONNECTICUT GAZETTE , FRIDAY, JUNE 28, 1776 New-London",Connecticut Gazette,CONNECTICUT GAZETTE,title,/TaggedPDF-doc/doc[1263]/title/pub
NDAR_V05_1279,Virginia Gazette,"PURDIE'S VIRGINIA GAZETTE , FRIDAY, JUNE 28, 1776 Williamsbu",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[1279]/title/pub
NDAR_V05_1299,The Freeman's Journal,"THE FREEMAN'S JOURNAL SATURDAY, JUNE 29, 1776 Portsmout",The Freeman's Journal,THE FREEMAN'S JOURNAL,title,/TaggedPDF-doc/doc[1299]/title/pub
NDAR_V05_1303,Providence Gazette,"PROVIDENCE GAZETTE , SATURDAY, JUNE 29, 1776 Providen",Providence Gazette,PROVIDENCE GAZETTE,title,/TaggedPDF-doc/doc[1303]/title/pub
NDAR_V05_1362,Newport Mercury,"NEWPORT MERCURY , MONDAY, JULY 1, 1776 Newport, Ju",Newport Mercury,NEWPORT MERCURY,title,/TaggedPDF-doc/doc[1362]/title/pub
NDAR_V05_1368,New York Gazette,"NEW-YORK GAZETTE , MONDAY, JULY 1, 1776 New-York, J",New York Gazette,NEW-YORK GAZETTE,title,/TaggedPDF-doc/doc[1368]/title/pub
NDAR_V05_1388,New England Chronicle,"NEW-ENGLAND CHRONICLE , FRIDAY, AUGUST 2, 1776 Halifax,",New England Chronicle,NEW-ENGLAND CHRONICLE,title,/TaggedPDF-doc/doc[1388]/title/pub
NDAR_V05_1390,American Gazette,"AMERICAN GAZETTE , TUESDAY, JULY 2, 1776 Salem, Jul",American Gazette,AMERICAN GAZETTE,title,/TaggedPDF-doc/doc[1390]/title/pub
